district name,district id
Hassan,289
Hathras,658
Haveri,279
Hazaribagh,255
Hingoli,386
Hisar,191
Hojai,764
Hoogly,720
Hoshangabad,360
Hoshiarpur,481
Howrah,721
Hyderabad,581
Idukki,306
Imphal East,401
Imphal West,402
Indore,314
Itanagar Capital Complex,17
Jabalpur,315
Jagatsinghpur,459
Jagtial,584
Jaipur I,505
Jaipur II,506
Jaisalmer,527
Jajpur,460
Jalandhar,492
Jalaun,659
Jalgaon,390
Jalna,396
Jalore,533
Jalpaiguri,722
Jammu,230
Jamnagar,169
Jamnagar Corporation,773
Jamtara,259
Jamui,107
Jangaon,585
Janjgir-Champa,121
Jashpur,122
Jaunpur,660
Jayashankar Bhupalpally,586
Jehanabad,91
Jhabua,340
Jhajjar,189
Jhalawar,515
Jhansi,661
Jhargram,723
Jharsuguda,474
Jhunjhunu,510
Jind,204
Jiribam,410
Jodhpur,502
Jogulamba Gadwal,587
Jorhat,54
Junagadh,178
Junagadh Corporation,774
Kaimur,80
Kaithal,190
Kakching,413
Kalahandi,464
Kalimpong,724
Kallakurichi,552
Kamareddy,588
Kamjong,409
Kamle,24
Kamrup Metropolitan,49
Kamrup Rural,50
Kanchipuram,557
Kandhamal,450
Kangpokpi,408
Kangra,795
Kangra,213
Kanker,123
Kannauj,662
Kannur,297
Kanpur Dehat,663
Kanpur Nagar,664
Kanyakumari,544
Kapurthala,479
Karaikal,476
Karauli,525
Karbi-Anglong,51
Kargil,309
Karimganj,69
Karimnagar,589
Karnal,203
Karur,559
Kasaragod,295
Kasganj,665
Kathua,234
Katihar,75
Katni,353
Kaushambi,666
Kawardha,135
Kendrapara,461
Kendujhar,455
Khagaria,101
Khammam,590
Khandwa,339
Khargone,344
Kheda,156
Khowai,616
Khunti,252
Khurda,446
Kinnaur,216
Kinnaur,792
Kiphire,444
Kishanganj,76
Kishtwar,231
Kodagu,283
Koderma,241
Kohima,441
Kokrajhar,61
Kolar,277
Kolasib,428
Kolhapur,371
Kolkata,725
Kollam,298
Kondagaon,124
Koppal,282
Koraput,451
Korba,125
Koriya,126
Kota,503
Kottayam,304
Kovilpatti,780
Kozhikode,305
Kra Daadi,27
Krishna,4
Krishnagiri,562
Kulgam,221
Kullu,211
Kumuram Bheem,591
Kupwara,226
Kurnool,7
Kurukshetra,186
Kurung Kumey,21
Kushinagar,667
Kutch,170
Lahaul Spiti,210
Lakhimpur,63
Lakhimpur Kheri,668
Lakhisarai,84
Lakshadweep,311
Lalitpur,669
Latehar,244
Latur,383
Lawngtlai,432
Leh,310
Lepa Rada,33
Lohardaga,250
Lohit,29
Longding,40
Longleng,438
Lower Dibang Valley,31
Lower Siang,18
Lower Subansiri,32
Lucknow,670
Ludhiana,488
Lunglei,431
Madhepura,70
Madhubani,95
Madurai,540
Mahabubabad,592
Mahabubnagar,593
Maharajganj,671
Mahasamund,127
Mahe,477
Mahendragarh,206
Mahisagar,183
Mahoba,672
Mainpuri,673
Majuli,767
Malappuram,302
Malda,726
Malkangiri,469
Mamit,427
Mancherial,594
Mandi,793
Mandi,215
Mandla,335
Mandsaur,319
Mandya,290
Mansa,482
Mathura,674
Mau,675
Mayurbhanj,456
Medak,595
Medchal,596
Meerut,676
Mehsana,160
Mirzapur,677
Moga,491
Mokokchung,437
Mon,439
Moradabad,678
Morbi,171
Morena,347
Morigaon,55
Mulugu,612
Mumbai,395
Mungeli,128
Munger,85
Murshidabad,727
Muzaffarnagar,679
Muzaffarpur,86
Mysore,266
Nabarangpur,470
Nadia,728
Nagaon,56
Nagapattinam,576
Nagarkurnool,597
Nagaur,532
Nagpur,365
Nainital,709
Nalanda,90
Nalbari,52
Nalgonda,598
Namakkal,558
Namsai,36
Nanded,382
Nandigram HD (East Medinipore),729
Nandurbar,387
Narayanpet,613
Narayanpur,129
Narmada,184
Narsinghpur,352
Nashik,389
Navsari,164
Nawada,92
Nayagarh,462
Neemuch,323
New Delhi,140
Nicobar,3
Nilgiris,577
Nirmal,599
Nizamabad,600
Noney,412
North 24 Parganas,730
North Delhi,146
North East Delhi,147
North Garo Hills,423
North Goa,151
North Sikkim,537
North Tripura,617
North West Delhi,143
North and Middle Andaman,1
Nuapada,465
Nuh,205
Osmanabad,381
Pakke Kessang,19
Pakur,261
Palakkad,308
Palamu,246
Palani,564
Palghar,394
Pali,529
Palwal,207
Panchkula,187
Panchmahal,185
Panipat,195
Panna,326
Papum Pare,39
Paramakudi,573
Parbhani,385
Paschim Medinipore,731
Patan,161
Pathanamthitta,300
Pathankot,486
Patiala,494
Patna,97
Pauri Garhwal,698
Peddapalli,601
Perambalur,570
Peren,435
Phek,443
Pherzawl,411
Pilibhit,680
Pithoragarh,706
Poonamallee,575
Poonch,238
Porbandar,172
Prakasam,12
Pratapgarh,522
Pratapgarh,682
Prayagraj,624
Puducherry,475
Pudukkottai,546
Pulwama,227
Pune,363
Purba Medinipore,732
Puri,463
Purnia,73
Purulia,733
Raebareli,681
Raichur,284
Raigad,393
Raigarh,130
Raipur,109
Raisen,359
Rajanna Sircilla,602
Rajgarh,358
Rajkot,173
Rajkot Corporation,775
Rajnandgaon,131
Rajouri,237
Rajsamand,518
Ramanagara,292
Ramanathapuram,567
Ramban,235
Ramgarh,254
Rampur,683
Rampurhat HD (Birbhum),734
Ranchi,240
Rangareddy,603
Ranipet,781
Ratlam,322
Ratnagiri,372
Rayagada,471
Reasi,239
Rewa,316
Rewari,202
Ri-Bhoi,417
Rohtak,192
Rohtas,81
Rudraprayag,700
Rup Nagar,497
SAS Nagar,496
SBS Nagar,500
Sabarkantha,162
Sagar,317
Saharanpur,684
Saharsa,71
Sahebganj,260
Salem,545
Samastipur,96
Samba,236
Sambalpur,452
Sambhal,685
Sangareddy,604
Sangli,373
Sangrur,498
Sant Kabir Nagar,686
Saran,102
Satara,376
Satna,333
Sawai Madhopur,534
Sehore,356
Senapati,403
Seoni,349
Sepahijala,618
Seraikela Kharsawan,248
Serchhip,430
Shahdara,148
Shahdol,332
Shahjahanpur,688
Shajapur,321
Shamli,689
Sheikhpura,93
Sheohar,87
Sheopur,346
Shi Yomi,35
Shimla,208
Shimla,794
Shimoga,287
Shivpuri,345
Shopian,222
Shravasti,690
Siaha,433
Siang,37
Siddharthnagar,691
Siddipet,605
Sidhi,331
Sikar,513
Simdega,249
Sindhudurg,374
Singrauli,330
Sirmaur,212
Sirohi,531
Sirsa,194
Sitamarhi,88
Sitapur,692
Sivaganga,561
Sivakasi,580
Sivasagar,44
Siwan,103
Solan,209
Solapur,375
Sonbhadra,693
Sonipat,198
Sonitpur,64
South 24 Parganas,735
South Andaman,2
South Delhi,149
South East Delhi,144
South Garo Hills,421
South Goa,152
South Salmara Mankachar,768
South Sikkim,538
South Tripura,619
South West Delhi,150
South West Garo Hills,422
South West Khasi Hills,415
Sri Ganganagar,509
Sri Muktsar Sahib,490
Sri Potti Sriramulu Nellore,13
Srikakulam,14
Srinagar,220
Subarnapur,466
Sukma,132
Sultanpur,694
Sundargarh,453
Supaul,72
Surajpur,133
Surat,165
Surat Corporation,776
Surendranagar,157
Surguja,134
Suryapet,606
Tamenglong,404
Tapi,166
Tarn Taran,495
Tawang,30
Tehri Garhwal,701
Tengnoupal,407
Tenkasi,551
Thane,392
Thanjavur,541
Theni,569
Thiruvananthapuram,296
Thoothukudi (Tuticorin),554
Thoubal,405
Thrissur,303
Tikamgarh,325
Tinsukia,45
Tirap,26
Tiruchirappalli,560
Tirunelveli,548
Tirupattur,550
Tiruppur,568
Tiruvallur,572
Tiruvannamalai,553
Tiruvarur,574
Tonk,526
Tuensang,440
Tumkur,288
Udaipur,504
Udalguri,65
Udham Singh Nagar,705
Udhampur,233
Udupi,286
Ujjain,318
Ukhrul,406
Umaria,329
Una,218
Unakoti,620
Unnao,695
Upper Siang,34
Upper Subansiri,41
Uttar Dinajpur,736
Uttar Kannada,281
Uttarkashi,703
Vadodara,155
Vadodara Corporation,777
Vaishali,89
Valsad,167
Varanasi,696
Vellore,543
Vidisha,355
Vijayapura,293
Vikarabad,607
Viluppuram,542
Virudhunagar,549
Visakhapatnam,8
Vizianagaram,15
Wanaparthy,608
Warangal(Rural),609
Warangal(Urban),610
Wardha,377
Washim,369
Wayanad,299
West Bardhaman,737
West Champaran,106
West Delhi,142
West Garo Hills,420
West Godavari,16
West Jaintia Hills,416
West Kameng,28
West Karbi Anglong,769
West Khasi Hills,419
West Siang,38
West Sikkim,536
West Singhbhum,263
West Tripura,621
Wokha,436
"YSR District, Kadapa (Cuddapah)",6
Yadadri Bhuvanagiri,611
Yadgir,285
Yamunanagar,197
Yanam,478
Yavatmal,368
Zunheboto,442
